불 켜줘,
led 불 켜줘,
led 켜줘,
불 빨간색으로 켜줘,
불 빨간색으로 해줘,
불 빨갛게 해줘,
빨간 불 켜줘,
불 빨간색으로 켜줄래,
불 빨간색으로 켜주라,
불 빨간색으로 켜줘봐,
불 빨간색으로 켜,
led 불 빨간색으로 켜줘,
led 불 빨간색으로 해줘,
led 불 빨갛게 해줘,
빨간 led 불 켜줘,
led 빨간색으로 켜줘,
led 빨간색으로 해줘,
led 빨갛게 해줘,
빨간 led 켜줘,
led 빨간색으로 켜주라,
led 빨간색으로 켜줘봐,
led 빨간색으로 켜,
불 파란색으로 켜줘,
불 파란색으로 해줘,
불 파랗게 해줘,
파란 불 켜줘,
불 파란색으로 켜줄래,
불 파란색으로 켜주라,
불 파란색으로 켜줘봐,
불 파란색으로 켜,
led 불 파란색으로 켜줘,
led 불 파란색으로 해줘,
led 불 파랗게 해줘,
파란 led 불 켜줘,
led 파란색으로 켜줘,
led 파란색으로 해줘,
led 파랗게 해줘,
파란 led 켜줘,
led 파란색으로 켜주라,
led 파란색으로 켜줘봐,
led 파란색으로 켜,
불 초록색으로 켜줘,
불 초록색으로 해줘,
초록 불 켜줘,
불 초록색으로 켜줄래,
불 초록색으로 켜주라,
불 초록색으로 켜줘봐,
불 초록색으로 켜,
led 불 초록색으로 켜줘,
led 불 초록색으로 해줘,
초록 led 불 켜줘,
led 초록색으로 켜줘,
led 초록색으로 해줘,
초록 led 켜줘,
led 초록색으로 켜주라,
led 초록색으로 켜줘봐,
led 초록색으로 켜,
"불 rgb값 30, 30, 30으로 해줘",
"불 RGB값 40, 30, 20으로 해줘",
"led rgb값 20, 70, 30으로 해줘",
"led 불 RGB값 100, 40, 80으로 해줘",
디스플레이에 hi라고 띄워,
디스플레이에 3 띄워,
디스플레이에 50 보여줘,
디스플레이에 modi 띄워,
display에 hi라고 띄워,
display에 3 띄워,
display에 50 보여줘,
display에 modi 띄워,
"모터 속도 30, 50으로 해줘",
"모터 속도 80, 80으로 해주라",
"모터 속도 20, 40으로 돌려줘",
"모터 속도 100, 100으로 설정해",
"motor 속도 30, 50으로 해줘",
"motor 속도 80, 80으로 해주라",
"motor 속도 20, 40으로 돌려줘",
"motor 속도 100, 100으로 설정해",
"모터 토크 30, 50으로 해줘",
"모터 토크 80, 80으로 해주라",
"모터 토크 20, 40으로 돌려줘",
"모터 토크 100, 100으로 설정해",
"motor 토크 30, 50으로 해줘",
"motor 토크 80, 80으로 해주라",
"motor 토크 20, 40으로 돌려줘",
"motor 토크 100, 100으로 설정해",
"모터 각도 30, 50으로 해줘",
"모터 각도 80, 80으로 해주라",
"모터 각도 20, 40으로 돌려줘",
"모터 각도 100, 100으로 설정해",
"motor 각도 30, 50으로 해줘",
"motor 각도 80, 80으로 해주라",
"motor 각도 20, 40으로 돌려줘",
"motor 각도 100, 100으로 설정해",
모터 첫번째 각도 30으로 해줘,
모터 첫번째 각도 80으로 해주라,
모터 첫번째 각도 20으로 돌려줘,
모터 첫번째 각도 100으로 설정해,
motor 첫번째 각도 50으로 해줘,
motor 첫번째 각도 80으로 해주라,
motor 첫번째 각도 40으로 돌려줘,
motor 첫번째 각도 100으로 설정해,
모터 두번째 각도 30으로 해줘,
모터 두번째 각도 80으로 해주라,
모터 두번째 각도 20으로 돌려줘,
모터 두번째 각도 100으로 설정해,
motor 두번째 각도 50으로 해줘,
motor 두번째 각도 80으로 해주라,
motor 두번째 각도 40으로 돌려줘,
motor 두번째 각도 100으로 설정해,
모터 첫번째 토크 30으로 해줘,
모터 첫번째 토크 80으로 해주라,
모터 첫번째 토크 20으로 돌려줘,
모터 첫번째 토크 100으로 설정해,
motor 첫번째 토크 50으로 해줘,
motor 첫번째 토크 80으로 해주라,
motor 첫번째 토크 40으로 돌려줘,
motor 첫번째 토크 100으로 설정해,
모터 두번째 토크 30으로 해줘,
모터 두번째 토크 80으로 해주라,
모터 두번째 토크 20으로 돌려줘,
모터 두번째 토크 100으로 설정해,
motor 두번째 토크 50으로 해줘,
motor 두번째 토크 80으로 해주라,
motor 두번째 토크 40으로 돌려줘,
motor 두번째 토크 100으로 설정해,
모터 첫번째 각도 30으로 해줘,
모터 첫번째 각도 80으로 해주라,
모터 첫번째 각도 20으로 돌려줘,
모터 첫번째 각도 100으로 설정해,
motor 첫번째 각도 50으로 해줘,
motor 첫번째 각도 80으로 해주라,
motor 첫번째 각도 40으로 돌려줘,
motor 첫번째 각도 100으로 설정해,
모터 두번째 각도 30으로 해줘,
모터 두번째 각도 80으로 해주라,
모터 두번째 각도 20으로 돌려줘,
모터 두번째 각도 100으로 설정해,
motor 두번째 각도 50으로 해줘,
motor 두번째 각도 80으로 해주라,
motor 두번째 각도 40으로 돌려줘,
motor 두번째 각도 100으로 설정해,
스피커 음정 50으로 해줘,
스피커 음정 30으로 해,
스피커 음정 100으로 설정해,
speaker 음정 50으로 해줘,
speaker 음정 30으로 해,
speaker 음정 100으로 설정해,
스피커 튠 50으로 해줘,
스피커 튠 30으로 해,
스피커 튠 100으로 설정해,
speaker 튠 50으로 해줘,
speaker 튠 30으로 해,
speaker 튠 100으로 설정해,
스피커 진동수 50으로 해줘,
스피커 진동수 30으로 해,
스피커 진동수 100으로 설정해,
speaker 진동수 50으로 해줘,
speaker 진동수 30으로 해,
speaker 진동수 100으로 설정해,
스피커 음량 50으로 해줘,
스피커 음량 30으로 해,
스피커 음량 100으로 설정해,
speaker 음량 50으로 해줘,
speaker 음량 30으로 해,
speaker 음량 100으로 설정해,
스피커 볼륨 50으로 해줘,
스피커 볼륨 30으로 해,
스피커 볼륨 100으로 설정해,
speaker 볼륨 50으로 해줘,
speaker 볼륨 30으로 해,
speaker 볼륨 100으로 설정해,
스피커 소리 크기 50으로 해줘,
스피커 소리 크기 30으로 해,
스피커 소리 크기 100으로 설정해,
speaker 소리 크기 50으로 해줘,
speaker 소리 크기 30으로 해,
speaker 소리 크기 100으로 설정해,