불 켜고,
led 불 켜고,
led 켜고,
불 빨간색으로 켜고,
불 빨간색으로 하고,
불 빨갛게 하고,
빨간 불 켜고,
불 빨간색으로 켜고,
불 빨간색으로 켜고,
불 빨간색으로 켜고,
불 빨간색으로 켜고,
led 불 빨간색으로 켜고,
led 불 빨간색으로 하고,
led 불 빨갛게 하고,
빨간 led 불 켜고,
led 빨간색으로 켜고,
led 빨간색으로 하고,
led 빨갛게 하고,
빨간 led 켜고,
led 빨간색으로 켜고,
led 빨간색으로 켜고,
led 빨간색으로 켜고,
불 파란색으로 켜고,
불 파란색으로 하고,
불 파랗게 하고,
파란 불 켜고,
불 파란색으로 켜고,
불 파란색으로 켜고,
불 파란색으로 켜고,
불 파란색으로 켜고,
led 불 파란색으로 켜고,
led 불 파란색으로 하고,
led 불 파랗게 하고,
파란 led 불 켜고,
led 파란색으로 켜고,
led 파란색으로 하고,
led 파랗게 하고,
파란 led 켜고,
led 파란색으로 켜고,
led 파란색으로 켜고,
led 파란색으로 켜고,
불 초록색으로 켜고,
불 초록색으로 하고,
초록 불 켜고,
불 초록색으로 켜고,
불 초록색으로 켜고,
불 초록색으로 켜고,
불 초록색으로 켜고,
led 불 초록색으로 켜고,
led 불 초록색으로 하고,
초록 led 불 켜고,
led 초록색으로 켜고,
led 초록색으로 하고,
초록 led 켜고,
led 초록색으로 켜고,
led 초록색으로 켜고,
led 초록색으로 켜고,
"불 rgb값 30, 30, 30으로 하고",
"불 RGB값 40, 30, 20으로 하고",
"led rgb값 20, 70, 30으로 하고",
"led 불 RGB값 100, 40, 80으로 하고",
디스플레이에 hi라고 띄워고,
디스플레이에 3 띄워고,
디스플레이에 50 보여주고,
디스플레이에 modi 띄워고,
display에 hi라고 띄워고,
display에 3 띄워고,
display에 50 보여주고,
display에 modi 띄워고,
"모터 속도 30, 50으로 하고",
"모터 속도 80, 80으로 하고",
"모터 속도 20, 40으로 돌려주고",
"모터 속도 100, 100으로 설정하고",
"motor 속도 30, 50으로 하고",
"motor 속도 80, 80으로 하고",
"motor 속도 20, 40으로 돌려주고",
"motor 속도 100, 100으로 설정하고",
"모터 토크 30, 50으로 하고",
"모터 토크 80, 80으로 하고",
"모터 토크 20, 40으로 돌려주고",
"모터 토크 100, 100으로 설정하고",
"motor 토크 30, 50으로 하고",
"motor 토크 80, 80으로 하고",
"motor 토크 20, 40으로 돌려주고",
"motor 토크 100, 100으로 설정하고",
"모터 각도 30, 50으로 하고",
"모터 각도 80, 80으로 하고",
"모터 각도 20, 40으로 돌려주고",
"모터 각도 100, 100으로 설정하고",
"motor 각도 30, 50으로 하고",
"motor 각도 80, 80으로 하고",
"motor 각도 20, 40으로 돌려주고",
"motor 각도 100, 100으로 설정하고",
모터 첫번째 각도 30으로 하고,
모터 첫번째 각도 80으로 하고,
모터 첫번째 각도 20으로 돌려주고,
모터 첫번째 각도 100으로 설정하고,
motor 첫번째 각도 50으로 하고,
motor 첫번째 각도 80으로 하고,
motor 첫번째 각도 40으로 돌려주고,
motor 첫번째 각도 100으로 설정하고,
모터 두번째 각도 30으로 하고,
모터 두번째 각도 80으로 하고,
모터 두번째 각도 20으로 돌려주고,
모터 두번째 각도 100으로 설정하고,
motor 두번째 각도 50으로 하고,
motor 두번째 각도 80으로 하고,
motor 두번째 각도 40으로 돌려주고,
motor 두번째 각도 100으로 설정하고,
모터 첫번째 토크 30으로 하고,
모터 첫번째 토크 80으로 하고,
모터 첫번째 토크 20으로 돌려주고,
모터 첫번째 토크 100으로 설정하고,
motor 첫번째 토크 50으로 하고,
motor 첫번째 토크 80으로 하고,
motor 첫번째 토크 40으로 돌려주고,
motor 첫번째 토크 100으로 설정하고,
모터 두번째 토크 30으로 하고,
모터 두번째 토크 80으로 하고,
모터 두번째 토크 20으로 돌려주고,
모터 두번째 토크 100으로 설정하고,
motor 두번째 토크 50으로 하고,
motor 두번째 토크 80으로 하고,
motor 두번째 토크 40으로 돌려주고,
motor 두번째 토크 100으로 설정하고,
모터 첫번째 각도 30으로 하고,
모터 첫번째 각도 80으로 하고,
모터 첫번째 각도 20으로 돌려주고,
모터 첫번째 각도 100으로 설정하고,
motor 첫번째 각도 50으로 하고,
motor 첫번째 각도 80으로 하고,
motor 첫번째 각도 40으로 돌려주고,
motor 첫번째 각도 100으로 설정하고,
모터 두번째 각도 30으로 하고,
모터 두번째 각도 80으로 하고,
모터 두번째 각도 20으로 돌려주고,
모터 두번째 각도 100으로 설정하고,
motor 두번째 각도 50으로 하고,
motor 두번째 각도 80으로 하고,
motor 두번째 각도 40으로 돌려주고,
motor 두번째 각도 100으로 설정하고,
스피커 음정 50으로 하고,
스피커 음정 30으로 하고,
스피커 음정 100으로 설정하고,
speaker 음정 50으로 하고,
speaker 음정 30으로 하고,
speaker 음정 100으로 설정하고,
스피커 튠 50으로 하고,
스피커 튠 30으로 하고,
스피커 튠 100으로 설정하고,
speaker 튠 50으로 하고,
speaker 튠 30으로 하고,
speaker 튠 100으로 설정하고,
스피커 진동수 50으로 하고,
스피커 진동수 30으로 하고,
스피커 진동수 100으로 설정하고,
speaker 진동수 50으로 하고,
speaker 진동수 30으로 하고,
speaker 진동수 100으로 설정하고,
스피커 음량 50으로 하고,
스피커 음량 30으로 하고,
스피커 음량 100으로 설정하고,
speaker 음량 50으로 하고,
speaker 음량 30으로 하고,
speaker 음량 100으로 설정하고,
스피커 볼륨 50으로 하고,
스피커 볼륨 30으로 하고,
스피커 볼륨 100으로 설정하고,
speaker 볼륨 50으로 하고,
speaker 볼륨 30으로 하고,
speaker 볼륨 100으로 설정하고,
스피커 소리 크기 50으로 하고,
스피커 소리 크기 30으로 하고,
스피커 소리 크기 100으로 설정하고,
speaker 소리 크기 50으로 하고,
speaker 소리 크기 30으로 하고,
speaker 소리 크기 100으로 설정하고,